source,target,relationship
analysis:cognitive_vs_procedural_ratio,source:de_ebm,requires_source
analysis:cognitive_vs_procedural_ratio,source:jp_mhlw_fee,requires_source
analysis:cognitive_vs_procedural_ratio,source:tw_nhi_services,requires_source
analysis:genomics_coverage_price_diffusion,source:au_mbs,requires_source
analysis:genomics_coverage_price_diffusion,source:au_msac,requires_source
analysis:genomics_coverage_price_diffusion,source:us_cms_clfs,requires_source
analysis:genomics_coverage_price_diffusion,source:us_cms_mcd,requires_source
analysis:genomics_coverage_price_diffusion,source:uk_genomic_test_directory,requires_source
analysis:published_vs_effective_price_opacity,source:au_pbs,requires_source
analysis:published_vs_effective_price_opacity,source:us_cms_asp,requires_source
analysis:published_vs_effective_price_opacity,source:uk_nhs_drug_tariff,requires_source
analysis:published_vs_effective_price_opacity,source:nz_pharmac,requires_source
analysis:published_vs_effective_price_opacity,source:jp_nhi_drug_prices,requires_source
analysis:published_vs_effective_price_opacity,source:ch_specialities_list,requires_source
analysis:published_vs_effective_price_opacity,source:se_tlv,requires_source
analysis:coverage_decision_architecture,source:au_msac,requires_source
analysis:coverage_decision_architecture,source:au_pbac,requires_source
analysis:coverage_decision_architecture,source:us_cms_mcd,requires_source
analysis:coverage_decision_architecture,source:uk_genomic_test_directory,requires_source
analysis:coverage_decision_architecture,source:fr_haspub,requires_source
analysis:patient_cost_exposure,source:au_mbs,requires_source
analysis:patient_cost_exposure,source:au_pbs,requires_source
analysis:patient_cost_exposure,source:us_cms_pfs,requires_source
analysis:patient_cost_exposure,source:us_cms_asp,requires_source
analysis:patient_cost_exposure,source:uk_nhs_payment_scheme,requires_source
analysis:local_discretion_postcode_lottery,source:us_cms_mcd,requires_source
analysis:local_discretion_postcode_lottery,source:us_medicaid_state_fees,requires_source
analysis:local_discretion_postcode_lottery,source:ca_on_ohip,requires_source
analysis:local_discretion_postcode_lottery,source:ca_bc_msp,requires_source
analysis:local_discretion_postcode_lottery,source:ca_ab_somb,requires_source
analysis:local_discretion_postcode_lottery,source:au_mbs,requires_source
analysis:hospital_professional_unbundling,source:au_ihacpa_nep,requires_source
analysis:hospital_professional_unbundling,source:us_cms_ipps,requires_source
analysis:hospital_professional_unbundling,source:us_cms_opps,requires_source
analysis:hospital_professional_unbundling,source:uk_nhs_payment_scheme,requires_source
analysis:hospital_professional_unbundling,source:de_gdrg,requires_source
analysis:hospital_professional_unbundling,source:ch_swissdrg,requires_source
analysis:hospital_professional_unbundling,source:dk_drg,requires_source
analysis:hospital_professional_unbundling,source:se_norddrg,requires_source
analysis:innovation_time_to_reimbursement,source:au_pbs,requires_source
analysis:innovation_time_to_reimbursement,source:au_pbac,requires_source
analysis:innovation_time_to_reimbursement,source:au_msac,requires_source
analysis:innovation_time_to_reimbursement,source:us_cms_mcd,requires_source
analysis:innovation_time_to_reimbursement,source:uk_genomic_test_directory,requires_source
analysis:innovation_time_to_reimbursement,source:nz_pharmac,requires_source
analysis:innovation_time_to_reimbursement,source:fr_haspub,requires_source
analysis:substitution_and_volume_control,source:au_mbs,requires_source
analysis:substitution_and_volume_control,source:us_cms_pfs,requires_source
analysis:substitution_and_volume_control,source:us_cms_clfs,requires_source
analysis:substitution_and_volume_control,source:tw_nhi_services,requires_source
analysis:medicine_access_restriction_text,source:au_pbs,requires_source
analysis:medicine_access_restriction_text,source:uk_nhs_drug_tariff,requires_source
analysis:medicine_access_restriction_text,source:nz_pharmac,requires_source
analysis:medicine_access_restriction_text,source:jp_nhi_drug_prices,requires_source
analysis:medicine_access_restriction_text,source:ch_specialities_list,requires_source
analysis:medicine_access_restriction_text,source:se_tlv,requires_source
analysis:ontology_maturity_score,source:au_mbs,requires_source
analysis:ontology_maturity_score,source:au_pbs,requires_source
analysis:ontology_maturity_score,source:us_cms_pfs,requires_source
analysis:ontology_maturity_score,source:us_cms_clfs,requires_source
analysis:ontology_maturity_score,source:uk_genomic_test_directory,requires_source
analysis:ontology_maturity_score,source:tw_nhi_services,requires_source
analysis:schedule_transparency_benchmark,source:au_mbs,requires_source
analysis:schedule_transparency_benchmark,source:au_pbs,requires_source
analysis:schedule_transparency_benchmark,source:au_ihacpa_nep,requires_source
analysis:schedule_transparency_benchmark,source:au_msac,requires_source
analysis:schedule_transparency_benchmark,source:au_pbac,requires_source
analysis:schedule_transparency_benchmark,source:us_cms_pfs,requires_source
analysis:schedule_transparency_benchmark,source:us_cms_clfs,requires_source
analysis:schedule_transparency_benchmark,source:us_cms_opps,requires_source
analysis:schedule_transparency_benchmark,source:us_cms_ipps,requires_source
analysis:schedule_transparency_benchmark,source:us_cms_asp,requires_source
analysis:schedule_transparency_benchmark,source:us_cms_mcd,requires_source
analysis:schedule_transparency_benchmark,source:us_medicaid_state_fees,requires_source
analysis:schedule_transparency_benchmark,source:uk_nhs_payment_scheme,requires_source
analysis:schedule_transparency_benchmark,source:uk_nhs_drug_tariff,requires_source
analysis:schedule_transparency_benchmark,source:uk_genomic_test_directory,requires_source
analysis:schedule_transparency_benchmark,source:ca_on_ohip,requires_source
analysis:schedule_transparency_benchmark,source:ca_bc_msp,requires_source
analysis:schedule_transparency_benchmark,source:ca_ab_somb,requires_source
analysis:schedule_transparency_benchmark,source:nz_pharmac,requires_source
analysis:schedule_transparency_benchmark,source:de_ebm,requires_source
analysis:schedule_transparency_benchmark,source:de_gdrg,requires_source
analysis:schedule_transparency_benchmark,source:fr_ccam,requires_source
analysis:schedule_transparency_benchmark,source:fr_lpp,requires_source
analysis:schedule_transparency_benchmark,source:fr_haspub,requires_source
analysis:schedule_transparency_benchmark,source:nl_nza_dbc,requires_source
analysis:schedule_transparency_benchmark,source:be_inami,requires_source
analysis:schedule_transparency_benchmark,source:jp_mhlw_fee,requires_source
analysis:schedule_transparency_benchmark,source:jp_nhi_drug_prices,requires_source
analysis:schedule_transparency_benchmark,source:tw_nhi_services,requires_source
analysis:schedule_transparency_benchmark,source:kr_hira,requires_source
analysis:schedule_transparency_benchmark,source:ch_tarmed_tardoc,requires_source
analysis:schedule_transparency_benchmark,source:ch_swissdrg,requires_source
analysis:schedule_transparency_benchmark,source:ch_specialities_list,requires_source
analysis:schedule_transparency_benchmark,source:dk_drg,requires_source
analysis:schedule_transparency_benchmark,source:no_helfo_tariffs,requires_source
analysis:schedule_transparency_benchmark,source:se_tlv,requires_source
analysis:schedule_transparency_benchmark,source:se_norddrg,requires_source
analysis:schedule_transparency_benchmark,source:sg_fee_benchmarks,requires_source
analysis:schedule_transparency_benchmark,source:oecd_health_stats,requires_source
analysis:schedule_transparency_benchmark,source:who_gho,requires_source
analysis:ai_diagnostics_reimbursement_readiness,source:au_msac,requires_source
analysis:ai_diagnostics_reimbursement_readiness,source:us_cms_pfs,requires_source
analysis:ai_diagnostics_reimbursement_readiness,source:us_cms_clfs,requires_source
analysis:ai_diagnostics_reimbursement_readiness,source:us_cms_mcd,requires_source
analysis:ai_diagnostics_reimbursement_readiness,source:uk_nhs_payment_scheme,requires_source
analysis:equity_weighting_and_rural_loadings,source:au_mbs,requires_source
analysis:equity_weighting_and_rural_loadings,source:us_cms_pfs,requires_source
analysis:equity_weighting_and_rural_loadings,source:us_cms_ipps,requires_source
analysis:equity_weighting_and_rural_loadings,source:uk_nhs_payment_scheme,requires_source
analysis:equity_weighting_and_rural_loadings,source:ca_on_ohip,requires_source
analysis:equity_weighting_and_rural_loadings,source:no_helfo_tariffs,requires_source
analysis:price_revision_velocity,source:au_mbs,requires_source
analysis:price_revision_velocity,source:au_pbs,requires_source
analysis:price_revision_velocity,source:us_cms_pfs,requires_source
analysis:price_revision_velocity,source:us_cms_clfs,requires_source
analysis:price_revision_velocity,source:jp_mhlw_fee,requires_source
analysis:price_revision_velocity,source:dk_drg,requires_source
analysis:local_vs_national_discretion,source:us_cms_mcd,requires_source
analysis:local_vs_national_discretion,source:us_medicaid_state_fees,requires_source
analysis:local_vs_national_discretion,source:au_msac,requires_source
analysis:local_vs_national_discretion,source:au_mbs,requires_source
analysis:local_vs_national_discretion,source:nl_nza_dbc,requires_source
analysis:local_vs_national_discretion,source:se_tlv,requires_source
analysis:rare_disease_reimbursement_pathways,source:au_pbac,requires_source
analysis:rare_disease_reimbursement_pathways,source:au_msac,requires_source
analysis:rare_disease_reimbursement_pathways,source:us_cms_mcd,requires_source
analysis:rare_disease_reimbursement_pathways,source:us_cms_partd_puf,requires_source
analysis:rare_disease_reimbursement_pathways,source:uk_nice_guidance,requires_source
analysis:rare_disease_reimbursement_pathways,source:nz_pharmac,requires_source
analysis:rare_disease_reimbursement_pathways,source:it_aifa_reimbursement,requires_source
analysis:device_and_prosthesis_visibility,source:us_cms_dmepos,requires_source
analysis:device_and_prosthesis_visibility,source:us_cms_opps,requires_source
analysis:device_and_prosthesis_visibility,source:au_ihacpa_nep,requires_source
analysis:device_and_prosthesis_visibility,source:fr_lpp,requires_source
analysis:device_and_prosthesis_visibility,source:nz_pharmac,requires_source
analysis:device_and_prosthesis_visibility,source:ch_swissdrg,requires_source
analysis:telehealth_payment_architecture,source:au_mbs,requires_source
analysis:telehealth_payment_architecture,source:us_cms_pfs,requires_source
analysis:telehealth_payment_architecture,source:ca_on_ohip,requires_source
analysis:telehealth_payment_architecture,source:uk_nhs_payment_scheme,requires_source
analysis:telehealth_payment_architecture,source:tw_nhi_services,requires_source
analysis:primary_care_longitudinal_incentives,source:au_mbs,requires_source
analysis:primary_care_longitudinal_incentives,source:us_cms_pfs,requires_source
analysis:primary_care_longitudinal_incentives,source:uk_nhs_payment_scheme,requires_source
analysis:primary_care_longitudinal_incentives,source:ca_bc_msp,requires_source
analysis:primary_care_longitudinal_incentives,source:jp_mhlw_fee,requires_source
analysis:hospital_outpatient_carveout,source:us_cms_opps,requires_source
analysis:hospital_outpatient_carveout,source:us_cms_asc,requires_source
analysis:hospital_outpatient_carveout,source:us_cms_pfs,requires_source
analysis:hospital_outpatient_carveout,source:au_ihacpa_nep,requires_source
analysis:hospital_outpatient_carveout,source:uk_nhs_payment_scheme,requires_source
analysis:hospital_outpatient_carveout,source:nl_nza_dbc,requires_source
analysis:terminology_coverage_completeness,source:au_mbs,requires_source
analysis:terminology_coverage_completeness,source:au_pbs,requires_source
analysis:terminology_coverage_completeness,source:us_cms_clfs,requires_source
analysis:terminology_coverage_completeness,source:us_cms_asp,requires_source
analysis:terminology_coverage_completeness,source:uk_genomic_test_directory,requires_source
analysis:coverage_to_utilisation_lag,source:au_mbs,requires_source
analysis:coverage_to_utilisation_lag,source:au_pbs,requires_source
analysis:coverage_to_utilisation_lag,source:au_aihw_mbs_pbs_stats,requires_source
analysis:coverage_to_utilisation_lag,source:us_cms_clfs,requires_source
analysis:coverage_to_utilisation_lag,source:us_cms_partd_puf,requires_source
analysis:coverage_to_utilisation_lag,source:uk_nhs_reference_costs,requires_source
analysis:global_public_schedule_access_index,source:au_mbs,requires_source
analysis:global_public_schedule_access_index,source:us_cms_pfs,requires_source
analysis:global_public_schedule_access_index,source:tw_nhi_services,requires_source
analysis:global_public_schedule_access_index,source:br_sigtap,requires_source
analysis:global_public_schedule_access_index,source:za_upfs,requires_source
analysis:global_public_schedule_access_index,source:in_abpmjay_hbp,requires_source
analysis:global_public_schedule_access_index,source:oecd_health_stats,requires_source
analysis:medicine_substitution_and_price_ladders,source:au_pbs,requires_source
analysis:medicine_substitution_and_price_ladders,source:us_cms_asp,requires_source
analysis:medicine_substitution_and_price_ladders,source:us_cms_partd_puf,requires_source
analysis:medicine_substitution_and_price_ladders,source:nz_pharmac,requires_source
analysis:medicine_substitution_and_price_ladders,source:se_tlv,requires_source
analysis:medicine_substitution_and_price_ladders,source:fi_kela_reimbursements,requires_source
analysis:medicine_substitution_and_price_ladders,source:jp_nhi_drug_prices,requires_source
recipe:recipe_genomics_price_coverage,analysis:genomics_pathology_comparison,implements_analysis
recipe:recipe_genomics_price_coverage,table:schedule_items,requires_table
recipe:recipe_genomics_price_coverage,table:coverage_decisions,requires_table
recipe:recipe_genomics_price_coverage,table:crosswalk_review_queue,requires_table
recipe:recipe_genomics_price_coverage,table:policy_signal_matrix,produces_table
recipe:recipe_genomics_price_coverage,table:crosswalk_candidates,produces_table
recipe:recipe_cognitive_procedural_relativities,analysis:cognitive_vs_procedural_relativities,implements_analysis
recipe:recipe_cognitive_procedural_relativities,table:schedule_items,requires_table
recipe:recipe_cognitive_procedural_relativities,table:source_registry,requires_table
recipe:recipe_cognitive_procedural_relativities,table:relative_value_index,produces_table
recipe:recipe_cognitive_procedural_relativities,table:policy_signal_matrix,produces_table
recipe:recipe_medicine_price_opacity,analysis:high_cost_medicine_access,implements_analysis
recipe:recipe_medicine_price_opacity,table:schedule_items,requires_table
recipe:recipe_medicine_price_opacity,table:source_registry,requires_table
recipe:recipe_medicine_price_opacity,table:source_status,requires_table
recipe:recipe_medicine_price_opacity,table:price_opacity_matrix,produces_table
recipe:recipe_medicine_price_opacity,table:rebate_caveat_register,produces_table
recipe:recipe_source_transparency_atlas,analysis:source_transparency_index,implements_analysis
recipe:recipe_source_transparency_atlas,table:source_registry,requires_table
recipe:recipe_source_transparency_atlas,table:source_readiness,requires_table
recipe:recipe_source_transparency_atlas,table:source_status,requires_table
recipe:recipe_source_transparency_atlas,table:source_transparency_index,produces_table
recipe:recipe_source_transparency_atlas,table:source_acquisition_plan,produces_table
recipe:recipe_local_discretion,analysis:local_vs_national_coverage,implements_analysis
recipe:recipe_local_discretion,table:coverage_decisions,requires_table
recipe:recipe_local_discretion,table:source_registry,requires_table
recipe:recipe_local_discretion,table:coverage_discretion_typology,produces_table
ontology:loinc,domain:laboratory_clinical_observations,maps_domain
ontology:rxnorm,domain:medicines,maps_domain
ontology:umls,domain:cross_terminology,maps_domain
ontology:icd10,domain:diagnoses,maps_domain
ontology:icd11,domain:diagnoses,maps_domain
ontology:atc,domain:medicines,maps_domain
ontology:snomed_ct,domain:clinical_terms,maps_domain
ontology:hpo,domain:phenotypes,maps_domain
ontology:omim,domain:genetics_disease,maps_domain
ontology:orpha,domain:rare_disease,maps_domain
ontology:hgnc,domain:genes,maps_domain
ontology:read_codes,domain:primary_care_terms,maps_domain
ontology:dsm5,domain:psychiatric_diagnoses,maps_domain
ontology:mesh,domain:biomedical_indexing,maps_domain
concept:loinc:81247-9,ontology:loinc,concept_in_ontology
concept:loinc:81247-9,domain:genomics,concept_domain
concept:hpo:HP:0000118,ontology:hpo,concept_in_ontology
concept:hpo:HP:0000118,domain:phenotype,concept_domain
concept:atc:L04AB01,ontology:atc,concept_in_ontology
concept:atc:L04AB01,domain:medicines,concept_domain
concept:rxnorm:214555,ontology:rxnorm,concept_in_ontology
concept:rxnorm:214555,domain:medicines,concept_domain
concept:icd11:MG30,ontology:icd11,concept_in_ontology
concept:icd11:MG30,domain:diagnosis,concept_domain
concept:hgnc:HGNC:11998,ontology:hgnc,concept_in_ontology
concept:hgnc:HGNC:11998,domain:genomics,concept_domain
concept:atc:L04AB01,concept:rxnorm:214555,mapping_candidate
concept:hgnc:HGNC:11998,concept:loinc:81247-9,mapping_candidate
concept:loinc:81247-9,concept:hpo:HP:0000118,mapping_candidate
track:track_live_source_ingestion,track:track_runtime_mojo_python314,depends_on_track
track:track_publication_hf_spaces,track:track_live_source_ingestion,depends_on_track
track:track_data_packaging_standards,track:track_publication_hf_spaces,depends_on_track
track:track_mapping_workbench,track:track_live_source_ingestion,depends_on_track
track:track_policy_demonstrators,track:track_live_source_ingestion,depends_on_track
track:track_policy_demonstrators,track:track_mapping_workbench,depends_on_track
track:track_policy_demonstrators,track:track_research_protocols_osf,depends_on_track
track:track_data_quality_evidence,track:track_live_source_ingestion,depends_on_track
track:track_data_quality_evidence,track:track_research_protocols_osf,depends_on_track
track:track_public_product_citation_dashboard,track:track_live_source_ingestion,depends_on_track
track:track_public_product_citation_dashboard,track:track_publication_hf_spaces,depends_on_track
track:track_public_product_citation_dashboard,track:track_data_packaging_standards,depends_on_track
track:track_public_product_citation_dashboard,track:track_data_quality_evidence,depends_on_track
track:track_public_product_citation_dashboard,track:track_ci_cd_supply_chain,depends_on_track
function:func_source_download,track:track_live_source_ingestion,implements_track
function:func_source_snapshot,track:track_live_source_ingestion,implements_track
function:func_source_diff,track:track_live_source_ingestion,implements_track
function:func_mojo_tokenizer,track:track_runtime_mojo_python314,implements_track
function:func_mojo_fuzzy_prefilter,track:track_runtime_mojo_python314,implements_track
function:func_python314_ci,track:track_runtime_mojo_python314,implements_track
function:func_osf_protocol_export,track:track_research_protocols_osf,implements_track
function:func_osf_api_publish,track:track_research_protocols_osf,implements_track
function:func_hf_dataset_publish,track:track_publication_hf_spaces,implements_track
function:func_hf_space_deploy,track:track_publication_hf_spaces,implements_track
function:func_frictionless_package,track:track_data_packaging_standards,implements_track
function:func_research_package_determinism,track:track_data_packaging_standards,implements_track
function:func_ro_crate,track:track_data_packaging_standards,implements_track
function:func_dcat,track:track_data_packaging_standards,implements_track
function:func_mapping_review_ui,track:track_mapping_workbench,implements_track
function:func_gold_standard_mappings,track:track_mapping_workbench,implements_track
function:func_action_sha_pin_bot,track:track_ci_cd_supply_chain,implements_track
function:func_release_attestation_verify,track:track_ci_cd_supply_chain,implements_track
function:func_genomics_demo,track:track_policy_demonstrators,implements_track
function:func_cognitive_procedural_index,track:track_policy_demonstrators,implements_track
function:func_medicine_opacity_index,track:track_policy_demonstrators,implements_track
function:func_protocol_status,track:track_research_protocols_osf,implements_track
function:func_source_download_hardened,track:track_live_source_ingestion,implements_track
function:func_source_content_validation,track:track_data_quality_evidence,implements_track
function:func_data_quality_checks,track:track_data_quality_evidence,implements_track
function:func_research_linkage_matrix,track:track_data_quality_evidence,implements_track
function:func_evidence_readiness,track:track_data_quality_evidence,implements_track
function:func_data_dictionary,track:track_data_packaging_standards,implements_track
function:func_source_drift_report,track:track_data_quality_evidence,implements_track
function:func_citation_cff_validation,track:track_public_product_citation_dashboard,implements_track
function:func_readme_current_state,track:track_public_product_citation_dashboard,implements_track
function:func_dashboard_public_deploy,track:track_public_product_citation_dashboard,implements_track
function:func_dashboard_executive_overview,track:track_public_product_citation_dashboard,implements_track
function:func_dashboard_exploration_controls,track:track_public_product_citation_dashboard,implements_track
function:func_dashboard_provenance_drilldown,track:track_public_product_citation_dashboard,implements_track
function:func_dashboard_accessibility_quality,track:track_public_product_citation_dashboard,implements_track
function:func_public_status_manifest,track:track_public_product_citation_dashboard,implements_track
function:func_docs_freshness_gate,track:track_ci_cd_supply_chain,implements_track
